year,region,country,modularity,in-conductance,out-conductance
2010,Europe,United Kingdom,0.0547522935061329,0.33898842805408935,0.18329608826400912
2010,America,United States,0.26385678025157305,0.17787733854705753,0.08684039652947444
2010,Asia and Pacific,Japan,0.13219209129171855,0.20753858990447244,0.12614593129200458
2010,Asia and Pacific,China,0.2254548144628989,0.21712290988929642,0.13585261010877683
2010,America,Canada,0.032836943261261874,0.36444591453169023,0.21457102476365209
2010,Asia and Pacific,South Korea,0.03709106409924652,0.47015506708389704,0.32279351966923664
2010,America,Brazil,0.04822654346990843,0.19212137310918004,0.10616835077603953
2010,Asia and Pacific,India,0.0464300331415357,0.3096811906620288,0.2010580960163782
2010,America,Mexico,0.016567299537027232,0.5007617435234921,0.354366525741516
2010,Europe,Russia,0.03288700053729922,0.39087690464351355,0.17531368599399988
2010,Asia and Pacific,Australia,0.03391503479146506,0.29155232740457426,0.16146362629932856
2010,Europe,Switzerland,0.013710808636313361,0.5734048112212576,0.35003265051765825
2010,Middle East,Turkey,0.018454683407300373,0.3069057195219308,0.1958257358859372
2010,Asia and Pacific,Taiwan,0.011349761970321183,0.7948625854662722,0.6499514159410995
2010,Europe,Norway,0.008853990771522997,0.5291450917779414,0.2949478833567187
2010,Asia and Pacific,Indonesia,0.01783928113719576,0.3586881045124846,0.2194272489562318
2010,Africa,South Africa,0.010321238318093885,0.2697430458013435,0.13996868726185752
2010,Asia and Pacific,RoW Asia and Pacific,0.03827115877445443,0.9497675926347221,0.9075787810637994
2010,America,RoW America,0.03456410649970491,0.5425058346301682,0.3883018761911182
2010,Europe,RoW Europe,0.01043008382238475,0.5204515619033304,0.39656491139153993
2010,Africa,RoW Africa,0.02431628986039717,0.5863671455321695,0.39495417018437406
2010,Middle East,RoW Middle East,0.03023400808328857,0.7692571250075744,0.5686826555242754
2011,Europe,Austria,0.008906583631253556,0.5411329517866316,0.36855225436625993
2011,Europe,Belgium,0.01327206573943744,0.6534769161499128,0.49450842320364863
2011,Europe,Bulgaria,0.0017773224072025512,0.5647412411991803,0.4069530089965981
2011,Middle East,Cyprus,0.0005647606330756992,0.5510905646902444,0.3908277922905657
2011,Europe,Czech Republic,0.007683758185603556,0.5206007827981143,0.378222176979975
2011,Europe,Germany,0.07489090634107944,0.4509250450901545,0.2914131066277517
2011,Europe,Denmark,0.006395349861127058,0.6066745259212379,0.43760156800255706
2011,Europe,Estonia,0.0005319663063536808,0.7959624278825405,0.6645111247623666
2011,Europe,Spain,0.028975650048146673,0.3974784142551516,0.26129704733709824
2011,Europe,Finland,0.006267113490497833,0.5019020596894543,0.34769334467397395
2011,Europe,France,0.05160591834430141,0.40284199218290334,0.2696968642722289
2011,Europe,Greece,0.004496364795749416,0.5035429534522589,0.3613700500366734
2011,Europe,Croatia,0.0013583666035178348,0.47629721255879315,0.31882824797232
2011,Europe,Hungary,0.0027348964511918527,0.8350617070411825,0.7241559783365458
2011,Europe,Ireland,0.00446219175063672,0.9629281027269451,0.9289825182648179
2011,Europe,Italy,0.052401616904538095,0.3382315574999946,0.2238697197763932
2011,Europe,Lithuania,0.0009823467774537178,0.6806322450162218,0.5122530282826888
2011,Europe,Luxembourg,0.002519949109816402,0.6456984503485016,0.4466483825066946
2011,Europe,Latvia,0.0009580200466214467,0.45051568866842734,0.3020522229801023
2011,Europe,Malta,0.00031199397287729505,0.8490072218893885,0.7516789571077733
2011,Europe,Netherlands,0.017469394080156256,0.6453773659971281,0.4750089614283637
2011,Europe,Poland,0.012599076217421377,0.46031360427680124,0.32073777308313417
